CategoryType,CategoryValue,Keywords
Technique,/Concern/Nation State,"nation-state, state-sponsored, geopolitical"
Technique,/Covert Channel,"covert channel, hidden communication, stealth channel"
Technique,/DoS,"denial of service, DoS attack, service disruption"
Technique,/Email/Abuse,"email abuse, misuse of email, inappropriate email use"
Technique,/Email/Hoax,"email hoax, fake news, scam email"
Technique,/Email/Phishing,"phishing, spear phishing, email scam"
Technique,/Email/Spam,"spam email, junk mail, unsolicited email"
Technique,/Exploit/Directory Traversal,"directory traversal, path traversal, file path exploit, path traversal, directory climb, dot-dot-slash, file system traversal, escape restricted directories, access control bypass, URL path tampering, file path manipulation, directory traversal attack"
Technique,/Exploit/Privilege Escalation,"privilege escalation, sudo exploit, admin rights, privilege escalation, sudo exploit, root access, elevation of privilege, admin rights, exploit local vulnerability, gain higher privileges, UAC bypass, setuid exploit, permission escalation, escalate capabilities, administrative access, zero-day privilege escalation, abuse of functionality, system vulnerability, security policy bypass, "
Technique,/Exploit/Vulnerability,"exploit, overflow, security hole, CVE exploit, malicious file, malware, infection, system compromise, drive-by download, vulnerability exploitation, exploit code, system weakness, software vulnerability, targeted attack, exploit script"
Technique,/Exploit/Weak Configuration,"config exploit, misconfiguration, default password, misconfiguration, default credentials, weak security settings, insecure configuration, unsecured settings, configuration flaw, security misconfiguration, default password, insecure defaults"
Technique,/Information Leak,"data leak, info-leak, information disclosure, confidentiality breach, data leak, sensitive data exposure, information disclosure, data breach, confidential data release, privacy violation, unauthorized information access, PII exposure, data spill"
Technique,/Information Leak/Company Information,"trade secrets, internal data, corporate leak"
Technique,/Information Leak/Encrypted Communication,"encrypted leak, secure channel compromise, TLS interception"
Technique,/Information Leak/Personal Information,"PII leak, identity theft, personal data disclosure, "
Technique,/Information Leak/Unauthorized Access,"unauthorized disclosure, illegal access, access violation"
Technique,/Policy,"policy violation, compliance issue, rule breaking"
Technique,/Policy/Breach,"policy breach, compliance failure, governance issue"
Technique,/Policy/Compliant,"compliant behavior, policy adherence, regulation following"
Technique,/Policy/Malevolence,"malicious intent, policy abuse, malevolent action"
Technique,/Redirection,"traffic redirection, reroute, divert traffic"
Technique,/Redirection/Application,"application redirect, app traffic reroute, service redirection, application redirect, URL redirection, open redirect, OAuth redirect, malicious forwarding, URL tampering, service redirection, unauthorized redirect, HTTP redirect, application flow hijack, web, traffic redirection, spoofed page redirection, application layer redirect, intercepting application requests"
Technique,/Redirection/DNS,"DNS hijacking, DNS redirection, name server compromise"
Technique,/Redirection/ICMP,"ICMP redirect, network reroute, ping flood"
Technique,/Redirection/IP,"IP redirect, packet rerouting, address manipulation"
Technique,/Redirection/Routing Protocols,"routing protocol compromise, BGP hijack, RIP attack"
Technique,/Scan,"network scan, vulnerability scan, system sweep"
Technique,/Scan/IP Protocol,"IP scan, protocol detection, IP enumeration"
Technique,/Scan/Port,"port scan, open service detection, port sweep"
Technique,/Scan/Service,"service scan, application detection, service discovery"
Technique,/Scan/Vulnerability,"vulnerability scanning, security assessment, weakness scan"
Technique,/Traffic Anomaly,"anomaly, unusual traffic, strange pattern"
Technique,/Traffic Anomaly/Application Layer,"app layer anomaly, application traffic anomaly, L7 irregularity"
Technique,/Traffic Anomaly/Application Layer/Encoding,"encoding anomaly, malformed encoding, unexpected encoding"
Technique,/Traffic Anomaly/Application Layer/Flow,"application flow anomaly, unusual app traffic, flow irregularity"
Technique,/Traffic Anomaly/Application Layer/Man in the Middle,"MITM, man-in-the-middle, eavesdropping, interception"
Technique,/Traffic Anomaly/Application Layer/Syntax Error,"syntax error, malformed request, protocol violation"
Technique,/Traffic Anomaly/Application Layer/Unsupported Command,"unsupported command, invalid operation, unrecognised action"
Technique,/Traffic Anomaly/IDS Evasion,"evasion, IDS bypass, intrusion detection avoidance"
Technique,/Traffic Anomaly/Network Layer,"network layer anomaly, L3 anomaly, IP irregularity"
Technique,/Traffic Anomaly/Network Layer/Flow,"network flow anomaly, irregular traffic pattern, unusual throughput"
Technique,/Traffic Anomaly/Network Layer/IP Fragments,"fragmented packets, IP fragment, fragment overlap"
Technique,/Traffic Anomaly/Network Layer/Man in the Middle,"MITM, IP interception, network eavesdropping"
Technique,/Traffic Anomaly/Network Layer/Source Routing,"source routing, route manipulation, packet redirection"
Technique,/Traffic Anomaly/Network Layer/Spoof,"IP spoofing, address spoofing, masquerading"
Technique,/Traffic Anomaly/Transport Layer,"transport layer anomaly, TCP/UDP anomaly, L4 irregularity"
Technique,/Traffic Anomaly/Transport Layer/Flow,"transport flow anomaly, session anomaly, connection pattern"
Technique,/Traffic Anomaly/Transport Layer/Hijack,"session hijack, TCP hijacking, connection takeover"
Technique,/Traffic Anomaly/Transport Layer/Port,"port anomaly, unexpected port traffic, port misuse"
Technique,/Traffic Anomaly/Transport Layer/Spoof,"port spoofing, transport spoofing, TCP/UDP masquerade"
